ev_brand_search_term_dictionary
search_term,brand,product_family,product,variant
ACER,ACER,,,
ACER ASPIRE 14 AI,ACER,ASPIRE,ASPIRE 14,ASPIRE 14 AI
ACER CHROMEBOOK PLUS SPIN 714,ACER,CHROMEBOOK,CHROMEBOOK PLUS,CHROMEBOOK PLUS SPIN 714
ACER PREDATOR HELIOS NEO 16,ACER,PREDATOR,PREDATOR HELIOS NEO 16,
ACER SPIN 5,ACER,SPIN,SPIN 5,
ACER SWIFT 3,ACER,SWIFT,SWIFT 3,
ACER SWIFT GO 14,ACER,SWIFT,SWIFT GO 14,
AIRTAGS,APPLE,AIRTAG,,
APPLE,APPLE,,,
APPLE IPHONE 17,APPLE,IPHONE,IPHONE 17,
APPLE IPHONE 17 PRO,APPLE,IPHONE,IPHONE 17,IPHONE 17 PRO
APPLE MACBOOK AIR,APPLE,MACBOOK,MACBOOK AIR,
APPLE MACBOOK PRO 16,APPLE,MACBOOK,MACBOOK PRO 16,
APPLE PENCIL,APPLE,APPLE PENCIL,,
APPLE WATCH,APPLE,APPLE WATCH,,
APPLE WATCH SERIES 11,APPLE,APPLE WATCH,APPLE WATCH SERIES 11,
APPLE WATCH SERIES 7,APPLE,APPLE WATCH,APPLE WATCH SERIES 7,
APPLE WATCH ULTRA 3,APPLE,APPLE WATCH,APPLE WATCH ULTRA 3,
ASUS,ASUS,,,
ASUS CHROMEBOOK DETACHABLE,ASUS,CHROMEBOOK,CHROMEBOOK DETACHABLE,
ASUS PROART PX13,ASUS,PROART,PROART PX13,
ASUS PROART STUDIOBOOK 16,ASUS,PROART,PROART STUDIOBOOK 16,
ASUS PROART STUDIOBOOK 16 OLED,ASUS,PROART,PROART STUDIOBOOK 16,PROART STUDIOBOOK 16 OLED
ASUS ROG FLOW X13,ASUS,ROG,ROG FLOW X13,
ASUS ROG FLOW Z13,ASUS,ROG,ROG FLOW Z13,
ASUS ROG STRIX G16,ASUS,ROG,ROG STRIX G16,
ASUS ROG ZEPHYRUS G14,ASUS,ROG,ROG ZEPHYRUS G14,
ASUS ROG ZEPHYRUS G16,ASUS,ROG,ROG ZEPHYRUS G16,
ASUS TUF GAMING A16,ASUS,TUF GAMING,TUF GAMING A16,
ASUS VIVOBOOK 16,ASUS,VIVOBOOK,VIVOBOOK 16,
ASUS VIVOBOOK 16 FLIP,ASUS,VIVOBOOK,VIVOBOOK 16,VIVOBOOK 16 FLIP
ASUS VIVOBOOK S 14 OLED,ASUS,VIVOBOOK,VIVOBOOK S 14,VIVOBOOK S 14 OLED
ASUS ZENBOOK,ASUS,ZENBOOK,,
ASUS ZENBOOK 13,ASUS,ZENBOOK,ZENBOOK 13,
ASUS ZENBOOK 13 OLED,ASUS,ZENBOOK,ZENBOOK 13,ZENBOOK 13 OLED
ASUS ZENBOOK 14 OLED,ASUS,ZENBOOK,ZENBOOK 14,ZENBOOK 14 OLED
ASUS ZENBOOK A14,ASUS,ZENBOOK,ZENBOOK A14,
ASUS ZENBOOK FLIP,ASUS,ZENBOOK,ZENBOOK FLIP,
ASUS ZENBOOK FLIP 14,ASUS,ZENBOOK,ZENBOOK FLIP 14,
ASUS ZENBOOK S 16,ASUS,ZENBOOK,ZENBOOK S 16,
ASUS ZENBOOK S14,ASUS,ZENBOOK,ZENBOOK S14,
ASUS ZENBOOK S14 OLED,ASUS,ZENBOOK,ZENBOOK S14,ZENBOOK S14 OLED
ASUS ZENFONE 9,ASUS,ZENFONE,ZENFONE 9,
ASUS ZENPAD 8,ASUS,ZENPAD,ZENPAD 8,
DELL,DELL,,,
DELL INSPIRON 16 PLUS,DELL,INSPIRON,INSPIRON 16 PLUS,
DELL INSPIRON 16 PLUS 7640,DELL,INSPIRON,INSPIRON 16 PLUS,INSPIRON 16 PLUS 7640
DELL LATITUDE,DELL,LATITUDE,,
DELL LATITUDE 5420,DELL,LATITUDE,LATITUDE 5420,
DELL LATITUDE 7320 DETACHABLE,DELL,LATITUDE,LATITUDE 7320,LATITUDE 7320 DETACHABLE
DELL LATITUDE 7420,DELL,LATITUDE,LATITUDE 7420,
DELL LATITUDE SERIES,DELL,LATITUDE,,
DELL PRECISION TOWER,DELL,PRECISION,PRECISION TOWER,
DELL PRECISION TOWER 5820,DELL,PRECISION,PRECISION TOWER,PRECISION TOWER 5820
DELL PRO 16 PLUS,DELL,DELL PRO,DELL PRO 16 PLUS,
DELL PRO RUGGED 14 RB14250,DELL,DELL PRO,DELL PRO RUGGED 14,DELL PRO RUGGED 14 RB14250
DELL XPS,DELL,XPS,,
DELL XPS 13,DELL,XPS,XPS 13,
DELL XPS 13 OR 14,DELL,XPS,,
DELL XPS 13 PLUS,DELL,XPS,XPS 13,XPS 13 PLUS
DELL XPS 13 SNAPDRAGON X ELITE,DELL,XPS,XPS 13,XPS 13 SNAPDRAGON X ELITE
DELL XPS 14,DELL,XPS,XPS 14,
DELL XPS 15,DELL,XPS,XPS 15,
DELL XPS 15 OR 16,DELL,XPS,,
DELL XPS 15 OR 17,DELL,XPS,,
DELL XPS 16,DELL,XPS,XPS 16,
ELITEBOOK,HP,ELITEBOOK,,
GALAXY,SAMSUNG,GALAXY,,
GALAXY A56,SAMSUNG,GALAXY,GALAXY A56,
GALAXY BUDS,SAMSUNG,GALAXY,GALAXY BUDS,
GALAXY S25 ULTRA,SAMSUNG,GALAXY,GALAXY S25,GALAXY S25 ULTRA
GALAXY TAB S11 ULTRA,SAMSUNG,GALAXY TAB,GALAXY TAB S11,GALAXY TAB S11 ULTRA
GALAXY TAB S8,SAMSUNG,GALAXY TAB,GALAXY TAB S8,
GALAXY TAB SERIES,SAMSUNG,GALAXY TAB,,
HP,HP,,,
HP CHROMEBOOK X360 14B,HP,CHROMEBOOK,CHROMEBOOK X360,CHROMEBOOK X360 14B
HP ELITE DRAGONFLY,HP,ELITE DRAGONFLY,,
HP ELITE X2 1012 G2,HP,ELITE X2,ELITE X2 1012,ELITE X2 1012 G2
HP ELITE X360,HP,ELITE X360,,
HP ELITEBOOK,HP,ELITEBOOK,,
HP ELITEBOOK 840,HP,ELITEBOOK,ELITEBOOK 840,
HP ELITEBOOK SERIES,HP,ELITEBOOK,,
HP ELITEBOOK ULTRA G1I,HP,ELITEBOOK,ELITEBOOK ULTRA,ELITEBOOK ULTRA G1I
HP ENVY 13,HP,ENVY,ENVY 13,
HP ENVY X360,HP,ENVY,ENVY X360,
HP OMNIBOOK 5 FLIP 14,HP,OMNIBOOK,OMNIBOOK 5,OMNIBOOK 5 FLIP 14
HP OMNIBOOK ULTRA FLIP 14,HP,OMNIBOOK,OMNIBOOK ULTRA,OMNIBOOK ULTRA FLIP 14
HP OMNIBOOK X 14,HP,OMNIBOOK,OMNIBOOK X,OMNIBOOK X 14
HP OMNIBOOK X FLIP 1,HP,OMNIBOOK,OMNIBOOK X,OMNIBOOK X FLIP 1
HP OMNIBOOK X FLIP 14,HP,OMNIBOOK,OMNIBOOK X,OMNIBOOK X FLIP 14
HP OMNIBOOK X FLIP 16,HP,OMNIBOOK,OMNIBOOK X,OMNIBOOK X FLIP 16
HP SPECTRE,HP,SPECTRE,,
HP SPECTRE X360 14,HP,SPECTRE,SPECTRE X360,SPECTRE X360 14
HP Z1,HP,Z,Z1,
HP ZBOOK 15,HP,ZBOOK,ZBOOK 15,
HP ZBOOK STUDIO G11,HP,ZBOOK,ZBOOK STUDIO,ZBOOK STUDIO G11
HP ZBOOK ULTRA 14,HP,ZBOOK,ZBOOK ULTRA,ZBOOK ULTRA 14
IPAD,APPLE,IPAD,,
IPAD AIR,APPLE,IPAD,IPAD AIR,
IPAD PRO,APPLE,IPAD,IPAD PRO,
IPHONE,APPLE,IPHONE,,
IPHONE 11,APPLE,IPHONE,IPHONE 11,
IPHONE 12,APPLE,IPHONE,IPHONE 12,
IPHONE 13,APPLE,IPHONE,IPHONE 13,
IPHONE 13 SERIES,APPLE,IPHONE,IPHONE 13,IPHONE 13 SERIES
IPHONE 14 SERIES,APPLE,IPHONE,IPHONE 14,IPHONE 14 SERIES
IPHONE 15,APPLE,IPHONE,IPHONE 15,
IPHONE 15 PRO,APPLE,IPHONE,IPHONE 15,IPHONE 15 PRO
IPHONE 17 PRO,APPLE,IPHONE,IPHONE 17,IPHONE 17 PRO
IPHONE 17 PRO MAX,APPLE,IPHONE,IPHONE 17,IPHONE 17 PRO MAX
IPHONE 17E,APPLE,IPHONE,IPHONE 17,IPHONE 17E
